# PBI辐射计算结果 - CLI版本
# 生成时间: 2025-06-19 21:29:34.393265

# 输入参数:
# initial_energy: 3.0
# thickness: 0.0
# density: 1.947
# ionization_energy: 12.0
# g_factor: 0.17
# max_radius: 100.0
# save: True

# SRIM能量损失分析:
# 初始能量: 3.0
# 最终能量: 3.0
# 能量损失: 0.0
# 损失百分比: 0.0
# 密度修正因子: 1.298
# 修正后阻止本领: 6704.17

# 分析结果:
# PBI分子数密度: 3.806764e+00 分子/nm³
# 径迹中心温度: 3,350 K
# 总沉积能量: 1.671808e+00 keV

径向距离_nm	原始剂量_keV_nm3	归一化剂量_keV_nm3	温度_K	单原子能量_eV
1.243741e+00	3.764101e-02	2.566072e-02	2.172979e+03	2.746646e-01
1.247567e+00	3.741208e-02	2.550465e-02	2.159763e+03	2.729941e-01
1.251406e+00	3.718453e-02	2.534953e-02	2.146627e+03	2.713338e-01
1.255257e+00	3.695837e-02	2.519534e-02	2.133570e+03	2.696834e-01
1.259119e+00	3.673357e-02	2.504210e-02	2.120593e+03	2.680431e-01
1.262993e+00	3.651013e-02	2.488978e-02	2.107694e+03	2.664127e-01
1.266879e+00	3.628805e-02	2.473838e-02	2.094874e+03	2.647922e-01
1.270777e+00	3.606732e-02	2.458790e-02	2.082131e+03	2.631815e-01
1.274687e+00	3.584792e-02	2.443833e-02	2.069465e+03	2.615806e-01
1.278609e+00	3.562985e-02	2.428967e-02	2.056876e+03	2.599893e-01
1.282543e+00	3.541310e-02	2.414191e-02	2.044364e+03	2.584077e-01
1.286490e+00	3.519767e-02	2.399504e-02	2.031927e+03	2.568357e-01
1.290448e+00	3.498354e-02	2.384906e-02	2.019566e+03	2.552732e-01
1.294419e+00	3.477071e-02	2.370397e-02	2.007279e+03	2.537202e-01
1.298401e+00	3.455917e-02	2.355976e-02	1.995067e+03	2.521766e-01
1.302396e+00	3.434891e-02	2.341642e-02	1.982929e+03	2.506424e-01
1.306404e+00	3.413992e-02	2.327395e-02	1.970864e+03	2.491174e-01
1.310423e+00	3.393221e-02	2.313234e-02	1.958873e+03	2.476017e-01
1.314455e+00	3.372575e-02	2.299159e-02	1.946954e+03	2.460952e-01
1.318500e+00	3.352054e-02	2.285170e-02	1.935108e+03	2.445978e-01
1.322557e+00	3.331657e-02	2.271265e-02	1.923333e+03	2.431094e-01
1.326626e+00	3.311384e-02	2.257445e-02	1.911630e+03	2.416301e-01
1.330708e+00	3.291234e-02	2.243708e-02	1.899997e+03	2.401598e-01
1.334802e+00	3.271207e-02	2.230055e-02	1.888436e+03	2.386984e-01
1.338909e+00	3.251300e-02	2.216484e-02	1.876944e+03	2.372458e-01
1.343029e+00	3.231514e-02	2.202996e-02	1.865522e+03	2.358021e-01
1.347161e+00	3.211849e-02	2.189589e-02	1.854169e+03	2.343671e-01
1.351306e+00	3.192302e-02	2.176264e-02	1.842885e+03	2.329408e-01
1.355464e+00	3.172874e-02	2.163019e-02	1.831669e+03	2.315231e-01
1.359635e+00	3.153564e-02	2.149855e-02	1.820522e+03	2.301140e-01
1.363818e+00	3.134371e-02	2.136771e-02	1.809441e+03	2.287135e-01
1.368015e+00	3.115294e-02	2.123765e-02	1.798429e+03	2.273215e-01
1.372224e+00	3.096333e-02	2.110839e-02	1.787483e+03	2.259379e-01
1.376446e+00	3.077486e-02	2.097991e-02	1.776603e+03	2.245627e-01
1.380681e+00	3.058755e-02	2.085221e-02	1.765789e+03	2.231959e-01
1.384929e+00	3.040136e-02	2.072529e-02	1.755041e+03	2.218373e-01
1.389191e+00	3.021631e-02	2.059913e-02	1.744358e+03	2.204870e-01
1.393465e+00	3.003238e-02	2.047374e-02	1.733740e+03	2.191448e-01
1.397753e+00	2.984956e-02	2.034911e-02	1.723186e+03	2.178108e-01
1.402053e+00	2.966785e-02	2.022524e-02	1.712696e+03	2.164849e-01
1.406367e+00	2.948725e-02	2.010212e-02	1.702270e+03	2.151670e-01
1.410694e+00	2.930774e-02	1.997974e-02	1.691907e+03	2.138572e-01
1.415035e+00	2.912932e-02	1.985811e-02	1.681607e+03	2.125552e-01
1.419389e+00	2.895198e-02	1.973721e-02	1.671369e+03	2.112612e-01
1.423756e+00	2.877572e-02	1.961705e-02	1.661194e+03	2.099750e-01
1.428137e+00	2.860052e-02	1.949761e-02	1.651080e+03	2.086966e-01
1.432531e+00	2.842639e-02	1.937891e-02	1.641028e+03	2.074260e-01
1.436939e+00	2.825332e-02	1.926092e-02	1.631036e+03	2.061631e-01
1.441360e+00	2.808129e-02	1.914364e-02	1.621105e+03	2.049078e-01
1.445795e+00	2.791031e-02	1.902708e-02	1.611235e+03	2.036602e-01
1.450244e+00	2.774037e-02	1.891123e-02	1.601424e+03	2.024201e-01
1.454706e+00	2.757145e-02	1.879608e-02	1.591673e+03	2.011876e-01
1.459182e+00	2.740356e-02	1.868162e-02	1.581981e+03	1.999625e-01
1.463672e+00	2.723670e-02	1.856786e-02	1.572348e+03	1.987449e-01
1.468175e+00	2.707084e-02	1.845480e-02	1.562773e+03	1.975346e-01
1.472692e+00	2.690599e-02	1.834241e-02	1.553256e+03	1.963317e-01
1.477224e+00	2.674214e-02	1.823071e-02	1.543797e+03	1.951361e-01
1.481769e+00	2.657928e-02	1.811969e-02	1.534396e+03	1.939478e-01
1.486328e+00	2.641741e-02	1.800934e-02	1.525052e+03	1.927666e-01
1.490902e+00	2.625653e-02	1.789966e-02	1.515764e+03	1.915926e-01
1.495489e+00	2.609662e-02	1.779065e-02	1.506532e+03	1.904258e-01
1.500090e+00	2.593768e-02	1.768230e-02	1.497357e+03	1.892660e-01
1.504706e+00	2.577971e-02	1.757460e-02	1.488237e+03	1.881133e-01
1.509336e+00	2.562269e-02	1.746756e-02	1.479173e+03	1.869676e-01
1.513980e+00	2.546663e-02	1.736117e-02	1.470164e+03	1.858288e-01
1.518638e+00	2.531152e-02	1.725543e-02	1.461209e+03	1.846969e-01
1.523311e+00	2.515734e-02	1.715032e-02	1.452309e+03	1.835719e-01
1.527998e+00	2.500411e-02	1.704586e-02	1.443463e+03	1.824538e-01
